DataCategory,acc,f1,recall,precision,tp,fn,fp,tn,model_name,model_target
train,1.0,1.0,1.0,1.0,1142,0,0,905,tree,y_weekday
test,0.744874715261959,0.772819472616633,0.762,0.7839506172839507,381,119,105,273,tree,y_weekday
train,1.0,1.0,1.0,1.0,1142,0,0,905,RandomFores,y_weekday
test,0.7403189066059226,0.7742574257425743,0.782,0.7666666666666667,391,109,119,259,RandomFores,y_weekday
train,0.830972154372252,0.8485113835376532,0.8485113835376532,0.8485113835376532,969,173,173,732,GradientBoosting,y_weekday
test,0.7642369020501139,0.7898477157360407,0.778,0.8020618556701031,389,111,96,282,GradientBoosting,y_weekday
train,1.0,1.0,1.0,1.0,1012,0,0,1035,tree,y_weekend
test,0.7437357630979499,0.7305389221556886,0.7314148681055156,0.7296650717703349,305,112,113,348,tree,y_weekend
train,1.0,1.0,1.0,1.0,1012,0,0,1035,RandomFores,y_weekend
test,0.8132118451025057,0.7985257985257985,0.7793764988009593,0.818639798488665,325,92,72,389,RandomFores,y_weekend
train,0.8558866634098681,0.8495665476797553,0.8231225296442688,0.8777660695468915,833,179,116,919,GradientBoosting,y_weekend
test,0.8382687927107062,0.8264058679706602,0.8105515587529976,0.8428927680798005,338,79,63,398,GradientBoosting,y_weekend
